Config  , Model, RÂ²  , RMSE , MSE   , MAE  , MAPE, train_time , execution_time
config_1, etr  , 0.78, 14.08, 198.26,  8.39, 0.7 ,      7.58,          0.32
config_1, rf   , 0.78, 14.35, 206.1 ,  8.33, 0.68,     23.39,          0.69
config_1, cb   , 0.76, 14.91, 222.36,  9.22, 0.82,      7.92,          0.01
config_1, xgb  , 0.75, 15.05, 226.61,  8.76, 0.75,      0.44,          0.01
config_1, lgb  , 0.75, 15.26, 233.08,  9.16, 0.77,      0.86,          0.14
config_1, dt   , 0.73, 15.78, 249.2 ,  9.46, 0.81,      0.22,          0.0
config_1, mlp  , 0.71, 16.45, 270.7 , 10.55, 1.02,     10.15,          0.01
config_1, lstm , 0.7 , 16.55, 274.0 , 10.39, 0.99,    126.87,          0.83
config_1, li   , 0.63, 18.53, 343.66, 13.21, 1.81,      0.14,          0.0
config_2, etr  , 0.78, 14.12, 199.41,  8.46, 0.71,      9.05,          0.35
config_2, rf   , 0.78, 14.34, 205.73,  8.32, 0.67,     28.61,          0.75
config_2, cb   , 0.76, 14.88, 221.49,  9.24, 0.82,      7.77,          0.01
config_2, xgb  , 0.75, 15.1 , 228.29,  8.81, 0.75,      0.53,          0.01
config_2, lgb  , 0.75, 15.22, 231.82,  9.16, 0.78,      1.05,          0.15
config_2, dt   , 0.72, 15.96, 254.86,  9.52, 0.78,      0.28,          0.0
config_2, mlp  , 0.71, 16.45, 270.82, 10.47, 0.98,      9.02,          0.01
config_2, lstm , 0.7 , 16.55, 274.16, 10.4 , 1.0 ,    151.63,          0.83
config_2, li   , 0.63, 18.53, 343.36, 13.19, 1.8 ,      0.18,          0.0
config_3, etr  , 0.78, 14.11, 199.19,  8.42, 0.7 ,     10.2 ,          0.36
config_3, rf   , 0.78, 14.28, 203.99,  8.3 , 0.67,     27.58,          0.76
config_3, cb   , 0.76, 14.88, 221.47,  9.22, 0.82,      7.79,          0.01
config_3, xgb  , 0.76, 15.03, 226.1 ,  8.76, 0.74,      0.58,          0.01
config_3, lgb  , 0.75, 15.22, 231.82,  9.16, 0.78,      1.13,          0.16
config_3, dt   , 0.72, 15.98, 255.45,  9.5 , 0.81,      0.32,          0.0
config_3, lstm , 0.71, 16.5 , 272.25, 10.35, 0.99,    129.67,          0.84
config_3, mlp  , 0.7 , 16.59, 275.43, 10.63, 1.0 ,      7.86,          0.01
config_3, li   , 0.63, 18.48, 341.86, 13.16, 1.79,      0.2 ,          0.0
config_4, etr  , 0.78, 14.12, 199.63,  8.43, 0.7 ,     13.58,          0.36
config_4, rf   , 0.78, 14.31, 204.94,  8.31, 0.67,     35.18,          0.76
config_4, cb   , 0.76, 14.82, 219.73,  9.18, 0.82,      9.19,          0.01
config_4, xgb  , 0.75, 15.12, 228.72,  8.8 , 0.74,      0.76,          0.01
config_4, lgb  , 0.75, 15.33, 235.28,  9.18, 0.77,      1.43,          0.16
config_4, dt   , 0.73, 15.9 , 253.11,  9.51, 0.78,      0.48,          0.0
config_4, mlp  , 0.72, 16.08, 258.87, 10.24, 0.94,     30.57,          0.06
config_4, lstm , 0.67, 17.47, 305.52, 10.89, 1.06,     39.75,          0.84
config_4, li   , 0.64, 18.27, 334.12, 12.97, 1.74,      0.36,          0.0
config_5, rf   , 0.78, 14.31, 204.95,  8.31, 0.67,     72.55,          0.78
config_5, etr  , 0.77, 14.45, 208.93,  8.66, 0.72,     30.23,          0.37
config_5, cb   , 0.76, 14.87, 221.34,  9.22, 0.82,     21.11,          0.02
config_5, xgb  , 0.75, 15.09, 228.0 ,  8.8 , 0.75,      2.12,          0.02
config_5, lgb  , 0.75, 15.33, 235.28,  9.18, 0.77,      2.92,          0.16
config_5, dt   , 0.73, 15.67, 245.82,  9.4 , 0.81,      1.38,          0.01
config_5, mlp  , 0.7 , 16.55, 274.02, 10.55, 1.03,      6.74,          0.02
config_5, lstm , 0.69, 17.03, 290.12, 10.67, 1.07,     74.47,          1.19
config_5, li   , 0.64, 18.26, 333.76, 12.95, 1.75,      1.04,          0.01
config_6, xgb  , 0.99,  0.96,   0.92,  0.56, 0.06,      3.57,          0.03
config_6, lgb  , 0.99,  0.96,   0.92,  0.57, 0.06,      4.65,          0.18
config_6, cb   , 0.99,  0.96,   0.93,  0.57, 0.06,     36.62,          0.03
config_6, rf   , 0.99,  1.07,   1.15,  0.65, 0.06,    130.91,          0.64
config_6, etr  , 0.99,  1.08,   1.18,  0.63, 0.06,     63.22,          0.49
config_6, dt   , 0.99,  1.13,   1.28,  0.67, 0.06,      2.51,          0.01
config_6, li   , 0.99,  1.16,   1.34,  0.71, 0.08,      1.66,          0.01
config_6, lstm , 0.99,  1.21,   1.46,  0.63, 0.06,    159.52,          0.86
config_6, mlp  , 0.99,  1.22,   1.49,  0.74, 0.08,      9.1 ,          0.02
